,word,tag,level_freq@a1,level_freq@a2,level_freq@b1,level_freq@b2,level_freq@c1,total_freq@total,nb_doc@a1,nb_doc@a2,nb_doc@b1,nb_doc@b2,nb_doc@c1,nb_doc@total
14227,undamaged,JJ,0.0,0.0,0.0,3.8776,0.0,0.6614,0.0,0.0,0.0,2.0,0.0,2.0
14228,undead,JJ,0.0,0.3637,0.0,0.0,0.0,0.0138,0.0,1.0,0.0,0.0,0.0,1.0
14229,undead,NN,0.0,5.8194,0.0,0.0,0.0,0.2203,0.0,3.0,0.0,0.0,0.0,3.0
14230,undecided,JJ,0.0,0.0,0.0,5.9298,0.0,1.233,0.0,0.0,0.0,2.0,0.0,2.0
14231,undeniably,RB,0.0,0.0,0.0,0.0,0.8152,0.2268,0.0,0.0,0.0,0.0,1.0,1.0
14232,under,IN,134.2374,411.8943,225.2597,441.1208,329.6559,360.1444,8.0,45.0,22.0,56.0,46.0,177.0
14233,under-12s,NN,0.0,0.887,0.0,0.0,0.0,0.2268,0.0,1.0,0.0,0.0,0.0,1.0
14234,under-16s,NN,0.0,0.0,2.5892,0.0,0.0,0.0865,0.0,0.0,1.0,0.0,0.0,1.0
14235,underage,JJ,0.0,0.0,0.0,0.4103,0.0,0.0803,0.0,0.0,0.0,1.0,0.0,1.0
14236,undercover,JJ,0.0,0.0,2.5892,7.7485,0.0,2.0249,0.0,0.0,1.0,3.0,0.0,4.0
14237,undercurrent,NN,0.0,0.0,0.0,0.6749,0.0,0.0574,0.0,0.0,0.0,1.0,0.0,1.0
14238,underdog,NN,0.0,0.0,0.0,0.1012,0.0,0.0812,0.0,0.0,0.0,1.0,0.0,1.0
14239,underestimate,VB,0.0,1.0149,0.0,0.1486,0.0,0.5179,0.0,1.0,0.0,1.0,0.0,2.0
14240,undergo,VB,0.0,0.0,0.0,2.499,4.6544,1.9877,0.0,0.0,0.0,2.0,2.0,4.0
14241,undergrad,NN,0.0,0.0,0.0,0.8294,0.0,0.2268,0.0,0.0,0.0,1.0,0.0,1.0
14242,underground,JJ,2.9398,11.5257,2.5892,11.5616,22.4211,15.2495,1.0,3.0,1.0,4.0,4.0,13.0
14243,underground,NN,0.0,2.6611,0.0,0.0,0.8152,0.9071,0.0,3.0,0.0,0.0,1.0,4.0
14244,underground,RB,5.8795,0.0,4.0866,1.4616,4.6544,5.496,2.0,0.0,2.0,1.0,2.0,7.0
14245,underline,VB,5.8795,0.0,0.0,0.0,4.9686,1.7661,1.0,0.0,0.0,0.0,2.0,3.0
14246,underlying,JJ,0.0,0.0,0.0,0.4103,0.8152,0.7357,0.0,0.0,0.0,1.0,1.0,2.0
14247,underneath,IN,3.4417,0.0,0.0,5.5553,4.9836,3.8036,1.0,0.0,0.0,3.0,2.0,6.0
14248,underneath,RB,0.0,0.4299,0.0,0.5926,0.0,0.5172,0.0,1.0,0.0,1.0,0.0,2.0
14249,undernourished,JJ,0.0,0.0,0.0,0.0,0.1559,0.0314,0.0,0.0,0.0,0.0,1.0,1.0
14250,underpants,NN,0.0,2.5512,0.0,0.0,0.0,0.0966,0.0,2.0,0.0,0.0,0.0,2.0
14251,undersea,JJ,0.0,0.0,0.0,0.8294,0.0,0.2268,0.0,0.0,0.0,1.0,0.0,1.0
14252,undersized,JJ,0.0,0.0,0.0,0.0,1.0665,0.0796,0.0,0.0,0.0,0.0,1.0,1.0
14253,understand,VB,576.7348,440.3496,468.8644,359.8524,723.4732,528.2127,25.0,58.0,51.0,62.0,92.0,288.0
14254,understandable,JJ,0.0,0.0,0.0,0.6524,0.0,0.0555,0.0,0.0,0.0,1.0,0.0,1.0
14255,understandably,RB,0.0,0.0,0.0,0.0,0.1559,0.0314,0.0,0.0,0.0,0.0,1.0,1.0
14256,understanding,NN,0.0,0.0,2.1495,23.7732,31.2423,14.6812,0.0,0.0,1.0,7.0,7.0,15.0
14257,understanding,JJ,0.0,0.0,0.0,0.6729,0.0,0.0572,0.0,0.0,0.0,1.0,0.0,1.0
14258,understatement,NN,0.0,0.0,0.0,0.0,0.1804,0.045,0.0,0.0,0.0,0.0,1.0,1.0
14259,undertake,VB,0.0,0.0,0.0,0.0,0.1804,0.045,0.0,0.0,0.0,0.0,1.0,1.0
14260,undertaker,NN,0.0,0.2873,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,0.0,0.0,1.0
14261,undertaking,NN,0.0,0.0,0.0,0.0,0.1559,0.0314,0.0,0.0,0.0,0.0,1.0,1.0
14262,underwater,JJ,2.3682,1.1119,0.0,0.0,0.6091,1.8546,1.0,1.0,0.0,0.0,1.0,3.0
14263,underwater,NN,0.0,0.2873,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,0.0,0.0,1.0
14264,underwear,NN,0.0,0.0,0.0,6.5048,1.0665,2.0219,0.0,0.0,0.0,4.0,1.0,5.0
14265,underwear_drawer,NN,0.0,0.0,0.0,0.6524,0.0,0.0555,0.0,0.0,0.0,1.0,0.0,1.0
14266,underweight,JJ,0.0,0.0,0.0,0.0,0.8152,0.2268,0.0,0.0,0.0,0.0,1.0,1.0
14267,underworld,NN,0.0,1.4548,6.3693,0.0,0.0,4.0533,0.0,2.0,3.0,0.0,0.0,5.0
14268,undisturbed,JJ,0.0,0.0,0.0,0.0,0.6091,0.0803,0.0,0.0,0.0,0.0,1.0,1.0
